[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 5 - [0] - 97
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: ZDO - activeEpReq
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 21 - 2 - 5 - 133 - [0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1] - 137
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- AREQ: ZDO - activeEpRsp
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '1' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '2' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '3' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '4' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '5' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '6' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '8' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '10' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '11' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '110' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '12' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '13' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '47' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '239' already registered
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: endpoint '242' already registered
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: ZDO - extFindGroup - {"endpoint":242,"groupid":2948}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,3,37,74,242,132,11,17]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 5 - 74 - [0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] - 179
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extFindGroup
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:controller: Started with result 'resumed'
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: ZDO - extNwkInfo - {}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,37,80,117]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,24,101,80,0,0,9,65,11,0,0,239,117,51,173,123,92,13,109,0,0,0,0,0,0,0,0,11,38]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,24,101,80,0,0,9,65,11,0,0,239,117,51,173,123,92,13,109,0,0,0,0,0,0,0,0,11,38]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 24 - 3 - 5 - 80 - [0,0,9,65,11,0,0,239,117,51,173,123,92,13,109,0,0,0,0,0,0,0,0,11] - 38
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extNwkInfo
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:controller: Injected database: true, adapter: true
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,18,103,0,0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,18,103,0,0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 18 - 3 - 7 - 0 - [0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21] - 0
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b0039299f3a","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":2,"assocdeviceslist":[52834,5420]}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:controller:device: Request Queue (0x00124b0039299f3a): default expiration timeout set to 0
[2026-08-02 04:11:58] info: 	z2m: zigbee-herdsman started (resumed)
[2026-08-02 04:11:58] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"ZStack3x0"}'
[2026-08-02 04:11:58] debug: 	z2m: Zigbee network parameters: {"channel":11,"extendedPanID":"0x6d0d5c7bad3375ef","nwkUpdateID":0,"panID":2881}
[2026-08-02 04:11:58] info: 	z2m: Currently 0 devices are joined.
[2026-08-02 04:11:58] info: 	z2m: Connecting to MQTT server at mqtt://localhost:1883
[2026-08-02 04:11:58] debug: 	z2m: Using MQTT keepalive: 60
[2026-08-02 04:11:58] debug: 	z2m: Using MQTT anonymous login
[2026-08-02 04:11:58] info: 	z2m: Connected to MQTT server
